2026-05-12 20:01:01 | INFO     | ayumi.blend_launcher | Startup diagnostic: symbols=['GBPUSD', 'USDJPY']
2026-05-12 20:01:01 | INFO     | ayumi.blend_launcher | Startup diagnostic: bar_period=60m, min_confidence=0.50
2026-05-12 20:01:01 | INFO     | ayumi.blend_launcher | Startup diagnostic: strategy_timeframes={'SRMR+': 60, 'Killzone Momentum': 15, 'Donchian Channel Breakout': 15, 'Session-Range Mean Reversion': 60, 'BB+RSI Mean Reversion': 60}
2026-05-12 20:01:01 | WARNING  | ayumi.forward_test | Credential validation: sender_comp_id is empty — may cause FIX logon failure
2026-05-12 20:01:01 | INFO     | ayumi.openapi_spot_feed | Connected to demo.ctraderapi.com:5035
2026-05-12 20:01:02 | INFO     | ayumi.openapi_spot_feed | Application authenticated
2026-05-12 20:01:03 | INFO     | ayumi.openapi_spot_feed | No token lifetime from server — defaulting to 86400s
2026-05-12 20:01:03 | INFO     | ayumi.openapi_spot_feed | Scheduling proactive token refresh in 69120s (token lifetime=86400s)
2026-05-12 20:01:03 | INFO     | ayumi.openapi_spot_feed | Account authenticated
2026-05-12 20:01:03 | INFO     | ayumi.openapi_spot_feed | Requesting symbol list for account 46877902
2026-05-12 20:01:04 | INFO     | ayumi.openapi_spot_feed | Loaded 830 symbol name mappings from API
2026-05-12 20:01:04 | INFO     | ayumi.openapi_spot_feed | Pre-fetching details for GBPUSD (id=2)
2026-05-12 20:01:05 | INFO     | ayumi.openapi_spot_feed | Fetched symbol details: id=2 digits=5
2026-05-12 20:01:05 | INFO     | ayumi.openapi_spot_feed | Pre-fetching details for USDJPY (id=4)
2026-05-12 20:01:06 | INFO     | ayumi.openapi_spot_feed | Fetched symbol details: id=4 digits=3
2026-05-12 20:01:06 | INFO     | ayumi.openapi_spot_feed | Subscribed to spot events for symbol_id=2
2026-05-12 20:01:06 | INFO     | ayumi.openapi_spot_feed | Subscribed to spot events for symbol_id=4
2026-05-12 20:01:06 | INFO     | ayumi.openapi_spot_feed | OpenApiSpotFeed started: account=46877902 symbols_loaded=2
2026-05-12 20:01:06 | INFO     | ayumi.forward_test | Open API spot feed connected for ['GBPUSD', 'USDJPY']
2026-05-12 20:01:06 | INFO     | ayumi.forward_test | Forward test started: symbols=['GBPUSD', 'USDJPY'] strategies=['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout', 'Session-Range Mean Reversion', 'BB+RSI Mean Reversion'] mode=PAPER eval_interval=1.0s bar_period=60m
2026-05-12 20:01:06 | INFO     | ayumi.forward_test | [B5 Startup] Strategy list: ['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout', 'Session-Range Mean Reversion', 'BB+RSI Mean Reversion']
2026-05-12 20:01:06 | INFO     | ayumi.forward_test | [B5 Startup] Symbols: ['GBPUSD', 'USDJPY']
2026-05-12 20:01:06 | INFO     | ayumi.forward_test | [B5 Startup] Bar period: 60m
2026-05-12 20:01:06 | INFO     | ayumi.forward_test | [B5 Startup] Min confidence: 0.50
2026-05-12 20:01:06 | INFO     | ayumi.forward_test | [B5 Startup] Min bars for evaluation: 50
2026-05-12 20:01:06 | INFO     | ayumi.forward_test | [B5 Startup] Strategy timeframes: {'SRMR+': 60, 'Killzone Momentum': 60, 'Donchian Channel Breakout': 60, 'Session-Range Mean Reversion': 60, 'BB+RSI Mean Reversion': 60}
2026-05-12 20:01:06 | INFO     | ayumi.forward_test | [B5 Startup] Required timeframes: [60]
2026-05-12 20:02:06 | INFO     | ayumi.forward_test | [B5 Periodic] ticks=74 bars_built=1 signals=0 traded=0 eval_errors=0
2026-05-12 20:02:06 | INFO     | ayumi.blend_launcher | [B5 Health] ticks=74 tps=2.22 bars=1 signals=0 trades=0 balance=10000.00 uptime=60s
2026-05-12 20:02:27 | INFO     | ayumi.forward_test | Shutdown signal received (sig=15)
2026-05-12 20:02:27 | INFO     | ayumi.openapi_spot_feed | Unsubscribed from spot events for symbol_id=2
2026-05-12 20:02:27 | INFO     | ayumi.openapi_spot_feed | Unsubscribed from spot events for symbol_id=4
2026-05-12 20:02:27 | INFO     | ayumi.openapi_spot_feed | OpenApiSpotFeed stopped
2026-05-12 20:02:27 | INFO     | ayumi.forward_test | Forward test stopped: balance=10000.00 trades=0 pnl=0.00 errors=0 reconnects=0
2026-05-12 20:02:27 | WARNING  | ayumi.openapi_spot_feed | Disconnected: [Failure instance: Traceback (failure with no frames): <class 'twisted.internet.error.ConnectionDone'>: Connection was closed cleanly.
]
2026-05-12 20:03:06 | INFO     | ayumi.blend_launcher | [B5 Health] ticks=110 tps=2.34 bars=3 signals=0 trades=0 balance=10000.00 uptime=120s
2026-05-12 20:03:27 | INFO     | ayumi.pid_guard | PID 804952 written to /home/TacoPants/projects/Ayumi/data/forward_test.pid
2026-05-12 20:03:27 | INFO     | ayumi.blend_launcher | === Ayumi Multi-Strategy Forward Test (Blend Pipeline) ===
2026-05-12 20:03:27 | INFO     | ayumi.blend_launcher | Symbols: ['GBPUSD', 'USDJPY']
