2026-04-30 18:52:40 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-467/test_fill_handling_updates_bal0/risk_state.json — starting fresh
2026-04-30 18:52:40 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-467/test_state_save_on_stop0/risk_state.json — starting fresh
2026-04-30 18:52:40 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-467/test_state_restore_on_start0/risk_state.json — starting fresh
2026-04-30 18:57:11 | INFO     | ayumi.forward_test | Shutdown signal received (sig=15)
2026-04-30 18:57:11 | INFO     | ayumi.openapi_spot_feed | Unsubscribed from spot events for symbol_id=2
2026-04-30 18:57:11 | INFO     | ayumi.openapi_spot_feed | Unsubscribed from spot events for symbol_id=4
2026-04-30 18:57:11 | INFO     | ayumi.openapi_spot_feed | OpenApiSpotFeed stopped
2026-04-30 18:57:11 | INFO     | ayumi.forward_test | Forward test stopped: balance=10000.00 trades=0 pnl=0.00 errors=0 reconnects=0
2026-04-30 18:57:11 | WARNING  | ayumi.openapi_spot_feed | Disconnected: [Failure instance: Traceback (failure with no frames): <class 'twisted.internet.error.ConnectionDone'>: Connection was closed cleanly.
]
2026-04-30 18:57:37 | INFO     | ayumi.blend_launcher | === Ayumi Multi-Strategy Forward Test (Blend Pipeline) ===
2026-04-30 18:57:37 | INFO     | ayumi.blend_launcher | Symbols: ['GBPUSD', 'USDJPY']
2026-04-30 18:57:39 | WARNING  | ayumi.blend_launcher | Could not fetch symbol list from OpenAPI: 'CTraderOpenApiClient' object has no attribute 'get_symbols' — using static mapping
2026-04-30 18:57:39 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars for GBPUSD (id=2)...
2026-04-30 18:57:41 | INFO     | ayumi.blend_launcher | Fetched 99 H1 bars for GBPUSD
2026-04-30 18:57:41 | INFO     | ayumi.blend_launcher | Fetching 200 M15 bars for GBPUSD (id=2)...
2026-04-30 18:57:41 | INFO     | ayumi.blend_launcher | === Ayumi Multi-Strategy Forward Test (Blend Pipeline) ===
2026-04-30 18:57:41 | INFO     | ayumi.blend_launcher | Symbols: ['GBPUSD', 'USDJPY']
2026-04-30 18:57:43 | INFO     | ayumi.blend_launcher | Fetched 199 M15 bars for GBPUSD
2026-04-30 18:57:43 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars for USDJPY (id=4)...
2026-04-30 18:57:44 | WARNING  | ayumi.blend_launcher | Could not fetch symbol list from OpenAPI: 'CTraderOpenApiClient' object has no attribute 'get_symbols' — using static mapping
2026-04-30 18:57:44 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars for GBPUSD (id=2)...
2026-04-30 18:57:45 | INFO     | ayumi.blend_launcher | Fetched 99 H1 bars for USDJPY
2026-04-30 18:57:45 | INFO     | ayumi.blend_launcher | Fetching 200 M15 bars for USDJPY (id=4)...
2026-04-30 18:57:46 | INFO     | ayumi.blend_launcher | Fetched 99 H1 bars for GBPUSD
2026-04-30 18:57:46 | INFO     | ayumi.blend_launcher | Fetching 200 M15 bars for GBPUSD (id=2)...
2026-04-30 18:57:47 | INFO     | ayumi.blend_launcher | Fetched 199 M15 bars for USDJPY
2026-04-30 18:57:47 | INFO     | ayumi.blend_launcher | Registered 5 strategies: ['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout', 'Session-Range Mean Reversion', 'BB+RSI Mean Reversion']
2026-04-30 18:57:47 | INFO     | ayumi.blend_launcher | All strategy .name properties verified against maps
2026-04-30 18:57:47 | INFO     | ayumi.risk | Restored risk state from data/risk_state_blend.json
2026-04-30 18:57:47 | INFO     | ayumi.forward_test | BlendForwardTestRunner started — balance=$10000.00
2026-04-30 18:57:48 | INFO     | ayumi.blend_launcher | Fetched 199 M15 bars for GBPUSD
2026-04-30 18:57:48 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars for USDJPY (id=4)...
2026-04-30 18:57:50 | INFO     | ayumi.blend_launcher | Fetched 99 H1 bars for USDJPY
2026-04-30 18:57:50 | INFO     | ayumi.blend_launcher | Fetching 200 M15 bars for USDJPY (id=4)...
2026-04-30 18:57:52 | INFO     | ayumi.blend_launcher | Fetched 199 M15 bars for USDJPY
2026-04-30 18:57:52 | INFO     | ayumi.blend_launcher | Registered 5 strategies: ['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout', 'Session-Range Mean Reversion', 'BB+RSI Mean Reversion']
2026-04-30 18:57:52 | INFO     | ayumi.blend_launcher | All strategy .name properties verified against maps
2026-04-30 18:57:52 | INFO     | ayumi.risk | Restored risk state from data/risk_state_blend.json
2026-04-30 18:57:52 | INFO     | ayumi.forward_test | BlendForwardTestRunner started — balance=$10000.00
2026-04-30 18:58:50 | INFO     | ayumi.blend_launcher | === Ayumi Multi-Strategy Forward Test (Blend Pipeline) ===
2026-04-30 18:58:50 | INFO     | ayumi.blend_launcher | Symbols: ['GBPUSD', 'USDJPY']
2026-04-30 18:58:52 | WARNING  | ayumi.blend_launcher | Could not fetch symbol list from OpenAPI: 'CTraderOpenApiClient' object has no attribute 'get_symbols' — using static mapping
2026-04-30 18:58:52 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars for GBPUSD (id=2)...
2026-04-30 18:58:54 | INFO     | ayumi.blend_launcher | Fetched 99 H1 bars for GBPUSD
2026-04-30 18:58:54 | INFO     | ayumi.blend_launcher | Fetching 200 M15 bars for GBPUSD (id=2)...
2026-04-30 18:58:56 | INFO     | ayumi.blend_launcher | Fetched 199 M15 bars for GBPUSD
2026-04-30 18:58:56 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars for USDJPY (id=4)...
2026-04-30 18:58:58 | INFO     | ayumi.blend_launcher | Fetched 99 H1 bars for USDJPY
2026-04-30 18:58:58 | INFO     | ayumi.blend_launcher | Fetching 200 M15 bars for USDJPY (id=4)...
2026-04-30 18:59:00 | INFO     | ayumi.blend_launcher | Fetched 199 M15 bars for USDJPY
2026-04-30 18:59:00 | INFO     | ayumi.blend_launcher | Registered 5 strategies: ['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout', 'Session-Range Mean Reversion', 'BB+RSI Mean Reversion']
2026-04-30 18:59:00 | INFO     | ayumi.blend_launcher | All strategy .name properties verified against maps
2026-04-30 18:59:00 | INFO     | ayumi.risk | Restored risk state from data/risk_state_blend.json
2026-04-30 18:59:00 | INFO     | ayumi.forward_test | BlendForwardTestRunner started — balance=$10000.00
2026-04-30 18:59:36 | INFO     | ayumi.blend_launcher | === Ayumi Multi-Strategy Forward Test (Blend Pipeline) ===
2026-04-30 18:59:36 | INFO     | ayumi.blend_launcher | Symbols: ['GBPUSD', 'USDJPY']
2026-04-30 18:59:38 | WARNING  | ayumi.blend_launcher | Could not fetch symbol list from OpenAPI: 'CTraderOpenApiClient' object has no attribute 'get_symbols' — using static mapping
2026-04-30 18:59:38 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars for GBPUSD (id=2)...
2026-04-30 18:59:40 | INFO     | ayumi.blend_launcher | Fetched 99 H1 bars for GBPUSD
2026-04-30 18:59:40 | INFO     | ayumi.blend_launcher | Fetching 200 M15 bars for GBPUSD (id=2)...
2026-04-30 18:59:42 | INFO     | ayumi.blend_launcher | Fetched 199 M15 bars for GBPUSD
2026-04-30 18:59:42 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars for USDJPY (id=4)...
2026-04-30 18:59:44 | INFO     | ayumi.blend_launcher | Fetched 99 H1 bars for USDJPY
2026-04-30 18:59:44 | INFO     | ayumi.blend_launcher | Fetching 200 M15 bars for USDJPY (id=4)...
2026-04-30 18:59:46 | INFO     | ayumi.blend_launcher | Fetched 199 M15 bars for USDJPY
2026-04-30 18:59:46 | INFO     | ayumi.blend_launcher | Registered 5 strategies: ['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout', 'Session-Range Mean Reversion', 'BB+RSI Mean Reversion']
2026-04-30 18:59:46 | INFO     | ayumi.blend_launcher | All strategy .name properties verified against maps
2026-04-30 18:59:46 | INFO     | ayumi.risk | Restored risk state from data/risk_state_blend.json
2026-04-30 18:59:46 | INFO     | ayumi.forward_test | BlendForwardTestRunner started — balance=$10000.00
2026-04-30 19:00:32 | INFO     | ayumi.blend_launcher | === Ayumi Multi-Strategy Forward Test (Blend Pipeline) ===
2026-04-30 19:00:32 | INFO     | ayumi.blend_launcher | Symbols: ['GBPUSD', 'USDJPY']
2026-04-30 19:00:34 | WARNING  | ayumi.blend_launcher | Could not fetch symbol list from OpenAPI: 'CTraderOpenApiClient' object has no attribute 'get_symbols' — using static mapping
2026-04-30 19:00:34 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars for GBPUSD (id=2)...
2026-04-30 19:00:36 | INFO     | ayumi.blend_launcher | Fetched 99 H1 bars for GBPUSD
2026-04-30 19:00:36 | INFO     | ayumi.blend_launcher | Fetching 200 M15 bars for GBPUSD (id=2)...
2026-04-30 19:00:38 | INFO     | ayumi.blend_launcher | Fetched 199 M15 bars for GBPUSD
2026-04-30 19:00:38 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars for USDJPY (id=4)...
2026-04-30 19:00:40 | INFO     | ayumi.blend_launcher | Fetched 99 H1 bars for USDJPY
2026-04-30 19:00:40 | INFO     | ayumi.blend_launcher | Fetching 200 M15 bars for USDJPY (id=4)...
2026-04-30 19:00:42 | INFO     | ayumi.blend_launcher | Fetched 199 M15 bars for USDJPY
2026-04-30 19:00:42 | INFO     | ayumi.blend_launcher | Registered 5 strategies: ['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout', 'Session-Range Mean Reversion', 'BB+RSI Mean Reversion']
